,기업명,상장주식수(주),업종,업종코드,자본금(원),종목코드
1,AK홀딩스,"13,247,561",기타 금융업,116409.0,"66,237,805,000",006840
2,BGF,"95,716,791",기타 금융업,116409.0,"95,716,791,000",027410
4,BNK금융지주,"325,935,246",기타 금융업,116409.0,"1,629,676,230,000",138930
6,CJ,"29,176,998",기타 금융업,116409.0,"179,047,370,000",001040
11,CS홀딩스,"1,154,482",기타 금융업,116409.0,"5,772,410,000",000590
14,DB손해보험,"70,800,000",보험업,116501.0,"35,400,000,000",005830
16,DGB금융지주,"169,145,833",기타 금융업,116409.0,"845,729,165,000",139130
17,DRB동일,"19,930,000",기타 금융업,116409.0,"9,965,000,000",004840
23,GS,"92,915,378",기타 금융업,116409.0,"473,501,020,000",078930
27,HDC,"59,741,721",기타 금융업,116409.0,"298,708,605,000",012630
33,JB금융지주,"196,982,894",기타 금융업,116409.0,"984,914,470,000",175330
36,JW홀딩스,"66,452,155",기타 금융업,116409.0,"33,226,077,500",096760
37,KB금융,"415,807,920",기타 금융업,116409.0,"2,090,557,685,000",105560
38,KC그린홀딩스,"22,434,980",기타 금융업,116409.0,"11,217,490,000",009440
52,LG,"172,557,131",기타 금융업,116409.0,"879,359,040,000",003550
63,LS,"32,200,000",기타 금융업,116409.0,"161,000,000,000",006260
65,LS전선아시아,"30,624,879",기타 금융업,116409.0,"15,312,439,500",229640
69,NH프라임리츠,"18,660,000",부동산 임대 및 공급업,126801.0,"9,330,000,000",338100
76,S&T홀딩스,"16,303,886",기타 금융업,116409.0,"8,351,943,000",036530
84,SK,"70,360,297",기타 금융업,116409.0,"15,385,286,400",034730
88,SK디스커버리,"19,037,855",기타 금융업,116409.0,"111,677,150,000",006120
89,SK디앤디,"18,990,164",부동산 임대 및 공급업,126801.0,"18,990,164,000",210980
110,경동인베스트,"2,365,023",기타 금융업,116409.0,"11,825,115,000",012320
141,기업은행,"676,471,574",은행 및 저축기관,116401.0,"3,382,357,870,000",024110
154,노루홀딩스,"13,291,151",기타 금융업,116409.0,"8,500,200,500",000320
158,농심홀딩스,"4,637,790",기타 금융업,116409.0,"23,188,950,000",072710
173,대상홀딩스,"36,212,538",기타 금융업,116409.0,"37,126,020,000",084690
183,대웅,"58,141,980",기타 금융업,116409.0,"29,070,990,000",003090
219,동아쏘시오홀딩스,"6,138,297",기타 금융업,116409.0,"30,691,485,000",000640
226,동양생명,"161,358,585",보험업,116501.0,"806,792,925,000",082640
250,디와이,"26,319,633",기타 금융업,116409.0,"13,159,816,500",013570
256,롯데리츠,"171,968,884",부동산 임대 및 공급업,126801.0,"85,984,442,000",330590
257,롯데손해보험,"310,336,320",보험업,116501.0,"310,336,320,000",000400
262,롯데지주,"104,909,237",기타 금융업,116409.0,"21,179,372,000",004990
272,메리츠금융지주,"134,011,294",기타 금융업,116409.0,"71,442,909,000",138040
274,메리츠화재,"113,680,000",보험업,116501.0,"56,840,000,000",000060
279,모두투어리츠,"7,826,815",부동산 임대 및 공급업,126801.0,"39,134,075,000",204210
288,미래에셋맵스리츠,"20,100,000",부동산 임대 및 공급업,126801.0,"20,100,000,000",357250
289,미래에셋생명,"177,016,189",보험업,116501.0,"885,080,945,000",085620
292,미원홀딩스,"2,320,000",기타 금융업,116409.0,"1,315,887,000",107590
327,삼성생명,"200,000,000",보험업,116501.0,"100,000,000,000",032830
336,삼성카드,"115,858,891",기타 금융업,116409.0,"614,794,455,000",029780
337,삼성화재해상보험,"47,374,837",보험업,116501.0,"26,473,418,500",000810
343,삼양홀딩스,"8,564,271",기타 금융업,116409.0,"44,341,645,000",000070
363,샘표,"2,875,800",기타 금융업,116409.0,"2,875,800,000",007540
365,서연,"23,479,844",기타 금융업,116409.0,"11,739,922,000",007860
384,세아제강지주,"4,141,657",기타 금융업,116409.0,"20,708,285,000",003030
417,신한알파리츠,"52,330,123",부동산 임대 및 공급업,126801.0,"52,330,123,000",293940
418,신한지주,"477,396,835",기타 금융업,116409.0,"2,412,162,465,000",055550
439,아주캐피탈,"57,545,890",기타 금융업,116409.0,"287,729,450,000",033660
451,에이리츠,"3,792,775",부동산 임대 및 공급업,126801.0,"18,963,875,000",140910
466,영원무역홀딩스,"13,635,592",기타 금융업,116409.0,"6,817,796,000",009970
472,예스코홀딩스,"6,000,000",기타 금융업,116409.0,"30,000,000,000",015360
476,오리온홀딩스,"62,645,422",기타 금융업,116409.0,"31,322,711,000",001800
478,우리금융지주,"722,267,683",기타 금융업,116409.0,"3,611,338,415,000",316140
481,우리종금,"674,203,406",기타 금융업,116409.0,"337,101,703,000",010050
487,웅진,"79,378,330",기타 금융업,116409.0,"41,939,165,000",016880
511,이리츠코크렙,"63,341,590",부동산 임대 및 공급업,126801.0,"31,670,795,000",088260
515,이스타코,"42,851,600",부동산 임대 및 공급업,126801.0,"21,425,800,000",015020
520,이지스레지던스리츠,"20,600,000",부동산 임대 및 공급업,126801.0,"20,600,000,000",350520
521,이지스밸류플러스리츠,"24,000,000",부동산 임대 및 공급업,126801.0,"24,000,000,000",334890
541,일진홀딩스,"49,347,483",기타 금융업,116409.0,"49,852,615,000",015860
543,자이에스앤디,"26,782,520",부동산 임대 및 공급업,126801.0,"26,782,520,000",317400
546,제이알글로벌리츠,"165,600,000",부동산 임대 및 공급업,126801.0,"165,600,000,000",348950
554,제주은행,"32,128,774",은행 및 저축기관,116401.0,"160,643,870,000",006220
593,케이탑리츠,"46,224,127",부동산 임대 및 공급업,126801.0,"46,224,127,000",145270
601,코스맥스비티아이,"9,603,921",기타 금융업,116409.0,"4,801,960,500",044820
605,코오롱,"12,626,426",기타 금융업,116409.0,"68,514,080,000",002020
612,쿠쿠홀딩스,"7,112,437",기타 금융업,116409.0,"3,556,218,500",192400
616,크라운해태홀딩스,"14,847,347",기타 금융업,116409.0,"7,724,036,500",005740
651,풍산홀딩스,"7,835,167",기타 금융업,116409.0,"45,175,835,000",005810
653,하나금융지주,"300,242,062",기타 금융업,116409.0,"1,501,210,310,000",086790
661,하이트진로홀딩스,"23,206,765",기타 금융업,116409.0,"118,387,875,000",000140
665,한국금융지주,"55,725,992",기타 금융업,116409.0,"307,921,215,000",071050
673,한국전자홀딩스,"46,803,136",기타 금융업,116409.0,"23,401,568,000",006200
681,한국콜마홀딩스,"17,938,966",기타 금융업,116409.0,"8,969,483,000",024720
683,한국테크놀로지그룹,"93,020,173",기타 금융업,116409.0,"46,510,086,500",000240
694,한라홀딩스,"10,472,070",기타 금융업,116409.0,"55,086,180,000",060980
697,한미사이언스,"66,011,149",기타 금융업,116409.0,"33,005,574,500",008930
710,한솔홀딩스,"42,008,577",기타 금융업,116409.0,"42,008,577,000",004150
732,한화생명,"868,530,000",보험업,116501.0,"4,342,650,000,000",088350
733,한화손해보험,"116,738,915",보험업,116501.0,"583,694,575,000",000370
764,현대해상,"89,400,000",보험업,116501.0,"44,700,000,000",001450
780,효성,"21,071,025",기타 금융업,116409.0,"105,355,125,000",004800
792,흥국화재,"64,242,645",보험업,116501.0,"325,821,225,000",000540
